,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
0,Butaritari,40,KI,1613158266,82,3.0707,172.7902,9.82,80.8
1,Arraial do Cabo,90,BR,1613158095,74,-22.9661,-42.0278,20.71,82.4
2,Cape Town,20,ZA,1613158152,83,-33.9258,18.4232,19.57,72.0
3,Vardø,75,NO,1613158269,92,70.3705,31.1107,13.8,15.8
4,Esperance,19,AU,1613158128,88,-33.8667,121.9,4.61,57.2
5,Anandpur,100,IN,1613158273,46,31.25,76.5,3.91,59.23
6,Hilo,1,US,1613158274,50,19.7297,-155.09,3.27,75.99
7,Busselton,0,AU,1613158276,89,-33.65,115.3333,10.76,57.99
8,Khovd,0,MN,1613158278,84,48.0056,91.6419,1.54,5.94
9,Bluff,100,NZ,1613158280,93,-46.6,168.3333,1.99,51.01
10,Saint-Philippe,40,RE,1613158072,65,-21.3585,55.7679,12.66,80.6
11,Sāmbhar,0,IN,1613158284,48,26.9167,75.2,3.44,64.4
12,Atuona,4,PF,1613158285,78,-9.8,-139.0333,13.6,78.78
13,Bud,90,US,1613158286,63,39.447,-86.1758,3.44,28.0
14,Shihezi,85,CN,1613158288,96,44.3,86.0333,2.01,11.86
15,Jamestown,40,US,1613158289,50,42.097,-79.2353,6.91,28.0
16,Yumen,29,CN,1613158290,72,40.2833,97.2,9.98,34.21
17,Nabire,76,ID,1613158292,88,-3.3667,135.4833,4.18,76.23
18,San Jerónimo,98,PE,1613158293,44,-11.9472,-75.2829,5.32,63.79
19,Warrington,20,GB,1613158197,64,53.3925,-2.5802,16.11,32.0
20,Yellowknife,20,CA,1613158295,76,62.456,-114.3525,2.3,-9.99
21,Itaunja,0,IN,1613158297,94,27.0833,80.9167,3.98,57.2
22,Magadan,100,RU,1613158299,84,59.5667,150.8,5.23,6.42
23,Castro,44,BR,1613158300,80,-24.7911,-50.0119,1.74,71.11
24,Mēga,66,ET,1613158301,71,4.05,38.3,3.31,62.64
25,Tasiilaq,90,GL,1613158303,74,65.6145,-37.6368,28.77,30.2
26,Chokurdakh,50,RU,1613158299,74,70.6333,147.9167,3.44,-21.42
27,Rawson,5,AR,1613158305,59,-43.3002,-65.1023,11.03,72.75
28,Port-Gentil,40,GA,1613158306,79,-0.7193,8.7815,8.05,84.2
29,Broome,90,US,1613158298,45,42.2506,-75.833,5.75,19.99
30,Hasaki,75,JP,1613158240,81,35.7333,140.8333,3.44,41.0
31,Jakar,85,BT,1613158310,78,27.5492,90.7525,1.12,37.2
32,Kapaa,40,US,1613158311,64,22.0752,-159.319,10.36,73.4
33,Albany,98,US,1613158207,34,42.6001,-73.9662,5.1,19.0
34,Narsaq,75,GL,1613158313,29,60.9167,-46.05,35.68,44.6
35,Kloulklubed,75,PW,1613158314,100,7.0419,134.2556,3.44,75.2
36,Bulalacao,87,PH,1613158316,82,12.3254,121.3435,7.72,77.86
37,Mayor Pablo Lagerenza,51,PY,1613158317,50,-19.9309,-60.7718,6.13,85.78
38,Bandarbeyla,100,SO,1613158151,72,9.4942,50.8122,13.58,74.03
39,Ushuaia,20,AR,1613158184,41,-54.8,-68.3,21.85,60.8
40,Katoro,100,TZ,1613158262,91,-3.0203,31.8958,4.63,66.38
41,Acapulco de Juárez,20,MX,1613158322,65,16.8634,-99.8901,9.22,82.4
42,Lieksa,99,FI,1613158323,95,63.3167,30.0167,6.71,7.9
43,At-Bashi,100,KG,1613158324,72,41.1702,75.8106,2.35,20.05
44,Pevek,100,RU,1613158094,89,69.7008,170.3133,5.93,-18.98
45,Eureka,100,US,1613158284,94,40.8021,-124.1637,5.01,52.0
46,Bodden Town,20,KY,1613158328,61,19.2833,-81.25,14.97,84.2
47,Valleyview,99,CA,1613158206,71,55.0667,-117.2859,6.91,-5.8
